Designator,Footprint,Quantity,Value,LCSC Part #
J15,TE_mezzanine_conn_3-2363962-0,1,TE 3-2363962-0 Connector,C425104
"J2, J5",fpc_7pin_0.3mm_connector Panasonic,2,7 pin FPC 0.3mm Panasonic Y3b,
J7,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,JST SH,
"R2, R4",0603,2,10k,C25804
